Jahr;Mittelwert;Median;Gini;P80/20;Top10%
2005;32959,33;28071,69;0,41;11,03;0,25
2006;32822,88;27408,10;0,42;12,12;0,27
2007;33898,28;27685,89;0,43;12,01;0,29
2008;35961,68;29742,58;0,42;11,93;0,31
2009;36713,51;30406,14;0,41;11,36;0,32
2010;36094,51;30936,45;0,40;10,70;0,30
2011;35321,04;30260,97;0,40;11,05;0,29
2012;34869,97;30089,12;0,40;11,17;0,29
2013;34419,54;29011,81;0,41;11,28;0,29
2014;33085,57;27463,17;0,41;11,78;0,27
2015;33555,21;27249,20;0,43;12,76;0,29
2016;34246,87;27974,93;0,42;11,73;0,30
2017;34462,49;28327,84;0,42;11,52;0,30
